Country,1970,1975,1980,1985,1990,1995,2000,2005,2010
Norway,7.223858635,7.402301925,8.574298334,8.39899564,7.393872665,8.006935383,8.640737403,9.178368631,11.71008946
Bulgaria,7.212770365,8.377150504,8.743442822,9.992020089,8.590285766,6.940522074,5.436690108,6.189984255,5.961127245
Venezuela,6.98029969,5.032009657,6.03833144,5.864136122,6.205244349,6.046072923,6.259217617,6.811162455,6.961007434
Iceland,6.808720519,7.41637657,8.179932211,6.744049246,7.814186418,7.279103328,7.69294596,7.426179107,6.127604102
Austria,6.789261266,7.176575974,6.928431961,7.235239262,7.916028563,7.778174302,7.956563584,9.017237523,7.969244347
Hungary,6.785634193,7.165516852,8.118152761,8.166655664,6.066633771,5.812634225,5.605283557,5.741221451,5.066085583
Faeroe Islands,6.658538062,8.621472003,9.856861233,11.3633866,13.10680292,16.61185597,15.55064892,15.87992319,14.60403493
South Africa,6.654888318,7.20602784,7.856101802,9.828723711,9.063547759,8.536373093,8.234447518,8.287456989,9.177268721
Ireland,6.551198889,6.926194267,7.681358972,7.561371773,8.893529402,9.103309057,10.86857459,10.46903005,8.947851182
Romania,5.930202664,7.636707439,8.855271773,8.551260456,6.844885455,5.603394519,4.054506967,4.394088872,3.664555545
Israel,5.817442431,5.887352172,5.645171553,6.089718081,7.451565933,10.17051698,10.42158323,9.120903923,9.523527086
Italy,5.564280706,6.212477739,6.917933697,6.554282789,7.346387757,7.552808105,7.921192233,8.067625767,6.709572975
New Zealand,5.033934519,5.922594992,5.546865244,6.669911577,6.963248492,7.386092563,8.526022248,8.204089692,7.222302602
Bermuda,4.391641714,8.444182419,7.78277207,7.80114855,9.995261588,7.583530114,7.8779005,6.918238994,7.339995791
Cayman Islands,3.841452768,4.596260315,9.785896447,9.63381585,9.712837838,11.18158901,11.31152299,9.821178031,10.49854763
Gibraltar,2.825775398,3.459119497,3.3126294,1.653638004,3.553236427,12.76741316,12.20077032,13.36772714,15.67273059
Greece,2.748018633,4.296705276,5.333158275,6.099612668,7.156864935,7.419360673,8.337942618,8.822795988,7.633303302
Taiwan,1.97097776,2.699168838,4.686463469,4.389115857,6.21007989,8.374260216,9.811882973,11.42528229,11.31371697
Oman,0.320713003,8.07797665,5.118212105,5.629018193,6.094574303,7.12135834,9.669651287,12.30316676,20.55621545
Netherlands Antilles,,,,,32.61799422,34.17418807,31.22711183,30.8370123,23.55053507
Aruba,,,,,29.61794884,22.18542634,24.73662638,22.50914228,21.59310807
